,no_of_dependents,education,self_employed,income_annum,loan_amount,loan_term,cibil_score,residential_assets_value,commercial_assets_value,luxury_assets_value,bank_asset_value,loan_status
673,1,1.0,1.0,5800000,13900000,6,345,4000000,9300000,20900000,5500000,1.0
674,0,1.0,0.0,200000,300000,6,472,400000,100000,700000,0,1.0
675,4,1.0,1.0,4600000,9500000,20,613,5200000,5900000,13700000,3000000,0.0
676,5,1.0,1.0,4600000,12800000,14,769,13100000,8600000,12100000,3500000,0.0
677,1,0.0,0.0,6500000,23100000,20,741,11400000,8500000,25700000,7900000,0.0
678,4,1.0,1.0,4400000,16600000,14,889,800000,1400000,14900000,5900000,0.0
679,0,1.0,1.0,900000,3600000,10,683,1400000,700000,3500000,400000,0.0
680,0,1.0,1.0,3200000,7400000,18,780,4200000,2600000,9000000,2800000,0.0
681,3,0.0,0.0,600000,1100000,8,538,500000,800000,1400000,300000,1.0
682,1,1.0,0.0,5200000,12600000,10,721,1100000,8700000,13900000,3600000,0.0
683,3,1.0,1.0,6400000,15200000,14,467,15500000,9100000,18400000,3200000,1.0
684,2,1.0,0.0,1000000,2500000,6,551,1700000,200000,3700000,900000,0.0
685,2,1.0,0.0,6800000,14800000,14,803,11300000,3300000,19600000,6600000,0.0
686,0,0.0,0.0,3000000,8400000,10,361,7700000,200000,7300000,1800000,1.0
687,1,1.0,1.0,8700000,30700000,6,708,20600000,4500000,27600000,9300000,0.0
688,4,0.0,1.0,8800000,20900000,18,766,13500000,15400000,34500000,13100000,0.0
689,1,1.0,1.0,3900000,11500000,2,464,9300000,5700000,12400000,5100000,1.0
690,5,0.0,0.0,1700000,4300000,2,517,100000,200000,6200000,1600000,1.0
691,3,1.0,1.0,900000,2300000,6,747,1200000,200000,2900000,600000,0.0
692,1,1.0,0.0,7200000,24700000,6,596,8800000,1400000,21700000,5800000,0.0
693,0,0.0,0.0,9200000,25400000,2,783,25400000,2000000,19600000,12400000,0.0
694,3,1.0,0.0,5700000,19400000,2,335,7400000,10600000,20600000,7100000,0.0
695,5,1.0,1.0,1100000,2700000,4,889,1900000,1000000,2200000,500000,0.0
696,2,1.0,1.0,1100000,2200000,4,874,1900000,1300000,2100000,900000,0.0
697,0,0.0,1.0,6000000,23900000,4,394,6700000,5800000,21900000,4500000,0.0
698,2,0.0,1.0,8100000,28500000,20,420,1500000,1400000,31800000,10000000,1.0
699,2,1.0,1.0,6500000,25100000,20,848,11500000,8600000,17400000,4400000,0.0
700,0,0.0,1.0,7600000,17900000,16,788,1700000,7800000,27100000,5900000,0.0
701,1,0.0,0.0,2200000,4900000,8,509,3800000,0,5400000,2900000,1.0
702,4,0.0,1.0,6300000,23900000,6,899,-100000,11400000,20600000,6700000,0.0
703,4,1.0,1.0,6700000,15800000,12,466,7500000,4600000,19900000,6600000,1.0
704,5,0.0,1.0,1300000,4300000,2,595,1300000,500000,2900000,1500000,0.0
705,1,1.0,0.0,2800000,6700000,12,322,1900000,2000000,8600000,2100000,1.0
706,3,0.0,0.0,7000000,18900000,2,691,6300000,7400000,15200000,3900000,0.0
707,3,1.0,1.0,8800000,26700000,10,379,10100000,15500000,27000000,9700000,1.0
708,0,0.0,0.0,8900000,25800000,18,531,12400000,3400000,22900000,5400000,1.0
709,5,1.0,0.0,7000000,21800000,4,631,8100000,7100000,14600000,10000000,0.0
710,0,0.0,1.0,6900000,18600000,10,330,19600000,9400000,16400000,4500000,1.0
711,5,0.0,0.0,9200000,29200000,16,383,17700000,13300000,30400000,5700000,1.0
712,0,0.0,1.0,6100000,19700000,16,678,13700000,2300000,19300000,5500000,0.0
713,1,0.0,1.0,4400000,14700000,8,894,11400000,6300000,9400000,2400000,0.0
714,4,1.0,0.0,9900000,22700000,12,567,28300000,9900000,29700000,5400000,0.0
715,5,1.0,0.0,3900000,14000000,4,708,700000,1800000,15600000,5200000,0.0
716,3,0.0,0.0,6800000,21200000,2,433,10700000,1900000,23200000,6300000,0.0
717,4,1.0,0.0,3600000,8700000,14,302,6400000,3700000,7800000,4100000,1.0
718,4,0.0,0.0,700000,2600000,14,736,2100000,600000,1900000,400000,0.0
719,2,1.0,1.0,4000000,8500000,6,323,11200000,1000000,14300000,4100000,1.0
720,4,0.0,0.0,1800000,4100000,12,670,1900000,2900000,4700000,2200000,0.0
721,3,1.0,0.0,5600000,21000000,12,609,8800000,11000000,15800000,4900000,0.0
722,4,1.0,0.0,6800000,24200000,18,349,18800000,0,15800000,9400000,1.0
723,5,1.0,1.0,600000,1500000,2,319,100000,1100000,2100000,600000,1.0
724,1,1.0,0.0,4200000,16200000,14,391,5800000,2100000,14100000,2600000,1.0
725,4,1.0,0.0,5000000,18700000,10,755,3600000,600000,13000000,2600000,0.0
726,1,1.0,0.0,4100000,12200000,6,354,7300000,5600000,16300000,3500000,1.0
727,3,1.0,1.0,2200000,8800000,2,877,5000000,1300000,6400000,3100000,0.0
728,1,1.0,0.0,3400000,8600000,16,312,6400000,6100000,8400000,3000000,1.0
729,0,0.0,0.0,7100000,15900000,14,746,9500000,3900000,23500000,8000000,0.0
730,3,0.0,0.0,5800000,19600000,16,313,11100000,8100000,22700000,6300000,1.0
731,2,0.0,0.0,3400000,12900000,14,857,3400000,2500000,8700000,1900000,0.0
732,2,1.0,0.0,7700000,18300000,20,504,14600000,500000,18300000,4600000,1.0
733,0,0.0,0.0,500000,1200000,14,556,900000,0,1800000,500000,0.0
734,2,0.0,1.0,5300000,11000000,14,393,6800000,2400000,20500000,5200000,1.0
735,0,0.0,0.0,4700000,14400000,14,881,11000000,6100000,17600000,2400000,0.0
736,2,0.0,1.0,4300000,12200000,14,719,5100000,2600000,14000000,5700000,0.0
737,2,0.0,1.0,900000,2500000,16,458,-100000,100000,3200000,1100000,1.0
738,4,0.0,0.0,2000000,7500000,14,857,4300000,1500000,4200000,2100000,0.0
739,2,0.0,1.0,2000000,7600000,16,429,5300000,3100000,5800000,2200000,1.0
740,3,1.0,0.0,4100000,15900000,12,538,3900000,800000,8800000,5700000,1.0
741,1,1.0,0.0,6900000,14400000,10,828,4600000,13000000,26700000,9000000,0.0
742,5,0.0,1.0,2300000,6100000,6,339,5100000,2500000,8300000,2400000,1.0
743,5,0.0,1.0,5800000,16600000,18,376,2500000,7500000,21100000,2800000,1.0
744,5,1.0,0.0,8000000,30000000,14,549,14800000,200000,17300000,7000000,1.0
745,3,1.0,1.0,3700000,12700000,18,587,11000000,3100000,8800000,4100000,0.0
746,0,1.0,0.0,2600000,8400000,18,861,0,3500000,6200000,3800000,0.0
747,0,1.0,0.0,3000000,7000000,12,409,6400000,4900000,8000000,3500000,1.0
748,4,0.0,0.0,2700000,10200000,4,528,7800000,2200000,10000000,1600000,0.0
749,4,1.0,0.0,5700000,19600000,8,691,8800000,2200000,12100000,3000000,0.0
750,2,0.0,0.0,1500000,3600000,4,584,3900000,1300000,4800000,1700000,0.0
751,5,1.0,0.0,6800000,20000000,4,459,14500000,3000000,25000000,4900000,1.0
752,1,0.0,1.0,8100000,31700000,10,755,0,12700000,30100000,4700000,0.0
753,3,1.0,1.0,9200000,27700000,20,688,4800000,16300000,25800000,11200000,0.0
754,1,1.0,1.0,7600000,26000000,6,384,2600000,1200000,20000000,7900000,1.0
755,4,0.0,0.0,600000,1600000,20,869,1400000,1000000,1700000,200000,0.0
756,1,1.0,1.0,4700000,18700000,20,445,2100000,0,11100000,4000000,1.0
757,0,0.0,0.0,1400000,5500000,6,393,500000,1500000,5400000,1800000,1.0
758,3,0.0,1.0,9400000,24600000,10,414,8800000,13400000,23800000,5600000,1.0
759,2,0.0,0.0,9700000,19900000,16,395,2800000,13700000,37000000,10800000,1.0
760,3,1.0,1.0,8900000,21000000,14,815,200000,10800000,21600000,6400000,0.0
761,5,0.0,0.0,4600000,10500000,8,758,3900000,4300000,15800000,2900000,0.0
762,5,1.0,1.0,5600000,14500000,10,457,6900000,7800000,20600000,4600000,1.0
763,0,0.0,1.0,1000000,3200000,10,854,2600000,800000,2900000,1200000,0.0
764,3,0.0,0.0,3500000,10300000,16,324,2400000,900000,12600000,2400000,1.0
765,0,1.0,0.0,7900000,31500000,14,849,19400000,10300000,26600000,10600000,0.0
766,3,0.0,1.0,6100000,24200000,12,672,300000,11100000,23500000,5000000,0.0
767,3,1.0,1.0,8900000,20900000,6,859,9600000,16500000,29300000,11100000,0.0
768,4,0.0,0.0,5300000,15400000,8,584,5100000,1700000,14000000,5000000,0.0
769,5,1.0,0.0,1300000,4800000,4,346,3200000,1600000,3400000,1600000,0.0
770,3,0.0,0.0,4000000,12800000,18,635,6000000,7000000,12900000,4200000,0.0
771,2,1.0,0.0,8700000,22700000,4,365,8200000,14800000,30200000,7200000,1.0
772,1,1.0,0.0,9500000,20000000,16,856,24900000,0,35700000,6200000,0.0
773,5,0.0,1.0,9000000,20000000,2,440,17100000,1000000,28500000,7600000,1.0
774,0,0.0,1.0,7300000,23300000,2,616,15700000,5900000,25800000,4100000,0.0
775,3,0.0,1.0,7400000,25700000,2,461,5700000,2900000,15100000,5100000,0.0
776,5,1.0,0.0,3100000,10800000,10,681,5100000,1700000,7400000,1500000,0.0
777,2,0.0,0.0,4300000,9400000,2,485,11000000,8100000,11000000,2200000,1.0
778,1,0.0,1.0,2400000,8300000,6,684,5500000,3500000,5300000,2300000,0.0
779,1,0.0,0.0,5400000,17900000,14,727,13100000,0,12300000,4700000,0.0
780,2,1.0,0.0,1600000,5100000,6,784,1400000,2400000,4500000,1400000,0.0
781,3,1.0,1.0,9900000,20400000,4,865,26300000,3600000,36500000,12800000,0.0
782,3,1.0,0.0,5800000,20100000,18,791,1400000,10800000,16300000,5600000,0.0
783,4,1.0,0.0,2200000,8500000,16,866,4000000,1900000,6800000,2800000,0.0
784,0,0.0,0.0,5000000,14400000,2,761,-100000,7300000,12600000,4500000,0.0
785,2,1.0,1.0,600000,2100000,18,572,400000,500000,1400000,300000,0.0
786,4,0.0,0.0,2200000,8600000,6,601,2700000,2900000,6700000,3300000,0.0
787,1,0.0,1.0,2600000,5500000,14,820,2700000,2400000,9300000,2000000,0.0
788,4,1.0,0.0,1200000,4300000,8,598,1600000,1800000,3200000,1300000,0.0
789,2,0.0,0.0,3100000,8700000,18,544,5300000,1100000,12200000,1500000,1.0
790,5,1.0,1.0,4600000,14500000,14,561,2300000,6200000,10200000,5800000,0.0
791,4,0.0,1.0,9300000,35500000,6,547,2800000,17800000,27000000,13900000,1.0
792,4,0.0,0.0,6300000,13400000,2,504,10500000,10900000,14500000,9400000,1.0
793,2,1.0,0.0,5900000,20800000,14,530,7100000,5800000,13100000,8800000,1.0
794,2,0.0,1.0,2900000,10600000,6,614,1000000,300000,7600000,3600000,0.0
795,4,1.0,0.0,6100000,22400000,18,351,11800000,5000000,24400000,4800000,1.0
796,4,0.0,1.0,5900000,19700000,10,431,3300000,9200000,22700000,5300000,1.0
797,1,1.0,1.0,4600000,18400000,10,403,200000,8800000,17300000,2900000,1.0
798,2,1.0,0.0,7000000,20200000,8,668,16600000,5000000,26100000,9100000,0.0
799,3,1.0,1.0,5100000,10400000,18,399,8000000,4300000,20100000,4600000,1.0
800,1,0.0,0.0,3100000,10600000,14,665,6200000,800000,9500000,3900000,0.0
801,2,0.0,0.0,4100000,12800000,16,344,10300000,7000000,15800000,4100000,1.0
802,0,0.0,0.0,1800000,5400000,16,555,3900000,2900000,5100000,1700000,0.0
803,4,1.0,1.0,8200000,26900000,20,301,23800000,13600000,31000000,9900000,1.0
804,2,1.0,1.0,800000,2100000,6,726,2000000,0,2600000,600000,0.0
805,2,0.0,0.0,8400000,23100000,6,689,5700000,2500000,18900000,11900000,0.0
806,0,1.0,0.0,8500000,33900000,4,665,8500000,12800000,17900000,4500000,0.0
807,3,1.0,1.0,3300000,12700000,16,608,3600000,6200000,12600000,4500000,0.0
808,3,1.0,0.0,5800000,12800000,20,335,4400000,3000000,15300000,8000000,1.0
809,3,1.0,0.0,4400000,10500000,18,677,100000,2000000,12100000,5000000,0.0
810,1,1.0,0.0,2600000,8500000,2,491,1700000,1800000,5300000,2600000,0.0
811,2,1.0,1.0,9600000,28100000,20,763,23000000,11800000,27500000,10300000,0.0
812,5,1.0,1.0,5200000,18100000,8,809,2400000,6900000,14000000,5500000,0.0
813,5,1.0,1.0,9700000,36400000,16,544,3500000,15000000,31300000,5200000,1.0
814,1,0.0,1.0,200000,800000,14,624,600000,0,600000,0,0.0
815,3,0.0,0.0,6500000,16800000,10,388,9500000,800000,14900000,7200000,1.0
816,4,0.0,1.0,7200000,23100000,14,644,13300000,3500000,18300000,4200000,0.0
817,0,1.0,0.0,5200000,18400000,14,600,7300000,9700000,16500000,3600000,0.0
818,2,1.0,0.0,6500000,14100000,2,709,1000000,12700000,20900000,4000000,0.0
819,5,0.0,1.0,2300000,5600000,8,642,2600000,1900000,8600000,2500000,0.0
820,0,1.0,1.0,3300000,10400000,4,423,7400000,4700000,11600000,3200000,0.0
821,0,1.0,1.0,2000000,5900000,12,900,3800000,2400000,7100000,3000000,0.0
822,2,0.0,1.0,8300000,19500000,4,415,2300000,9400000,21700000,8600000,1.0
823,4,0.0,1.0,3800000,14300000,4,645,1300000,1100000,10900000,4600000,0.0
824,0,1.0,0.0,5700000,15600000,16,742,700000,5800000,11400000,6800000,0.0
825,4,1.0,0.0,7300000,19800000,8,724,5500000,6000000,29000000,10300000,0.0
826,1,0.0,0.0,1600000,5400000,12,707,600000,1700000,6200000,800000,0.0
827,5,1.0,1.0,800000,2500000,4,780,500000,900000,1700000,400000,0.0
828,4,1.0,0.0,6300000,21900000,10,538,9600000,5400000,19300000,7800000,1.0
829,2,0.0,0.0,8800000,17700000,14,706,22900000,4300000,30300000,9200000,0.0
830,0,0.0,0.0,7300000,14500000,16,811,1000000,12400000,16100000,9600000,0.0
831,2,0.0,1.0,3800000,9100000,14,849,6300000,2400000,9500000,2500000,0.0
832,3,0.0,0.0,6200000,16700000,10,880,15800000,8200000,20100000,9100000,0.0
833,5,1.0,1.0,3500000,9500000,4,664,9500000,500000,7800000,5200000,0.0
834,5,0.0,1.0,1400000,5000000,2,465,0,2600000,5300000,1500000,0.0
835,3,1.0,1.0,3500000,12000000,2,786,600000,6400000,10700000,1700000,0.0
836,1,0.0,1.0,600000,2000000,10,326,400000,1000000,2400000,700000,1.0
837,0,1.0,0.0,4100000,10800000,16,399,5900000,7600000,12700000,5300000,1.0
838,2,1.0,1.0,5400000,11500000,6,841,6800000,100000,11100000,6600000,0.0
839,2,1.0,1.0,2000000,6700000,14,638,4900000,200000,4900000,2300000,0.0
840,4,0.0,1.0,3500000,8900000,4,478,4000000,3900000,11300000,3800000,1.0
841,0,0.0,1.0,8300000,30000000,4,600,14600000,12500000,24800000,12000000,0.0
842,0,0.0,1.0,6700000,15600000,16,768,300000,1800000,26000000,3800000,0.0
843,0,1.0,0.0,1900000,6500000,10,523,2400000,1100000,6200000,1100000,1.0
844,2,0.0,1.0,6500000,20900000,14,327,8200000,100000,22800000,4700000,1.0
845,1,0.0,1.0,600000,1800000,8,799,1000000,700000,2200000,800000,0.0
846,5,0.0,0.0,7000000,23000000,18,803,18700000,6300000,27800000,4100000,0.0
847,2,0.0,0.0,7700000,15400000,18,524,12900000,5100000,21000000,6600000,1.0
848,1,0.0,0.0,2600000,6600000,6,506,2300000,1900000,9600000,2100000,1.0
849,1,0.0,0.0,9200000,18800000,2,351,22400000,2200000,31500000,13000000,1.0
850,2,0.0,1.0,1800000,4200000,8,648,1200000,3100000,6200000,1600000,0.0
851,1,1.0,0.0,4900000,18500000,4,612,6100000,5900000,16400000,2900000,0.0
852,1,0.0,0.0,5700000,12400000,14,396,5400000,7500000,17600000,5600000,1.0
853,3,1.0,0.0,300000,800000,2,458,500000,0,1100000,200000,1.0
854,3,0.0,1.0,1700000,3400000,6,488,100000,500000,4500000,1600000,1.0
855,4,0.0,0.0,7000000,18900000,6,475,1300000,6100000,14700000,5200000,1.0
856,1,1.0,0.0,2200000,7000000,18,417,2000000,3900000,6500000,1900000,1.0
857,2,1.0,0.0,6800000,18700000,8,781,17600000,900000,23700000,5400000,0.0
858,1,1.0,1.0,2400000,6200000,12,337,3400000,2100000,9400000,2300000,1.0
859,0,1.0,1.0,600000,1800000,12,511,300000,200000,2200000,400000,1.0
860,4,0.0,0.0,6200000,17300000,6,837,12600000,3700000,24700000,4600000,0.0
861,1,1.0,0.0,7600000,24600000,12,810,1300000,10500000,30300000,5200000,0.0
862,2,1.0,0.0,4800000,10600000,8,588,3700000,5200000,15000000,4500000,0.0
863,5,0.0,0.0,4200000,9200000,12,870,3200000,2400000,12300000,5700000,0.0
864,0,1.0,1.0,7200000,20700000,10,733,15600000,12000000,19200000,9900000,0.0
865,5,1.0,1.0,6400000,20300000,16,348,10000000,10900000,20400000,6900000,1.0
866,0,1.0,1.0,8900000,23000000,12,741,5600000,11200000,27100000,7100000,0.0
867,3,1.0,0.0,5100000,14500000,12,306,700000,8800000,11600000,2900000,1.0
868,2,0.0,1.0,6300000,19500000,18,428,15900000,7200000,19900000,6500000,1.0
869,3,0.0,0.0,6600000,22100000,4,455,3800000,3000000,25100000,7400000,0.0
870,1,1.0,1.0,4800000,14700000,2,356,7100000,8800000,13400000,5500000,0.0
871,0,0.0,0.0,200000,400000,4,594,500000,0,400000,100000,0.0
872,0,1.0,1.0,7500000,25800000,18,844,9100000,600000,18600000,6500000,0.0
873,4,0.0,0.0,9000000,34700000,4,771,4800000,9500000,34100000,7700000,0.0
874,2,0.0,0.0,5400000,12500000,4,622,14400000,2900000,11800000,5400000,0.0
875,1,1.0,1.0,1700000,4500000,20,480,200000,600000,5400000,1900000,1.0
876,4,0.0,0.0,4300000,11500000,20,337,11100000,6000000,17000000,5200000,1.0
877,1,0.0,0.0,5200000,11200000,6,698,14100000,7600000,18800000,2700000,0.0
878,4,1.0,0.0,4400000,17000000,18,302,1000000,2100000,14000000,5700000,1.0
879,1,1.0,1.0,3900000,7800000,14,349,11200000,500000,11800000,3600000,1.0
880,0,0.0,0.0,1100000,3300000,10,482,2800000,300000,2900000,1600000,1.0
881,2,0.0,0.0,2500000,8200000,10,429,1500000,4100000,5900000,2200000,1.0
882,4,0.0,0.0,500000,1300000,8,471,500000,300000,1500000,700000,1.0
883,0,0.0,1.0,9000000,32400000,10,895,16800000,5800000,20700000,9500000,0.0
884,1,1.0,1.0,5100000,20300000,18,757,11800000,3400000,13400000,3200000,0.0
885,2,0.0,0.0,5200000,13500000,2,777,7000000,5200000,15500000,6100000,0.0
886,5,1.0,1.0,4400000,8900000,4,761,8100000,1000000,14200000,3000000,0.0
887,1,0.0,0.0,1900000,4200000,12,821,5200000,1500000,5000000,2700000,0.0
888,4,1.0,1.0,9200000,26500000,6,662,1000000,400000,26900000,5300000,0.0
889,2,1.0,1.0,4800000,16500000,10,350,2000000,6500000,11400000,2900000,1.0
890,4,1.0,0.0,4900000,10700000,20,321,1200000,400000,11100000,6500000,1.0
891,3,0.0,1.0,4800000,10100000,4,368,9100000,5100000,16500000,3500000,1.0
892,4,0.0,0.0,9300000,24900000,14,455,27600000,4700000,35100000,13900000,1.0
893,5,1.0,1.0,7500000,24600000,8,744,1600000,3600000,16700000,9300000,0.0
894,1,0.0,0.0,5900000,16800000,4,806,11200000,9700000,22800000,7100000,0.0
895,0,0.0,0.0,9400000,27900000,6,456,21400000,18500000,35600000,7800000,1.0
896,5,0.0,0.0,5300000,13400000,8,719,1600000,200000,11400000,5300000,0.0
897,4,0.0,0.0,3700000,9000000,18,668,7800000,1600000,13400000,3100000,0.0
898,0,0.0,1.0,2500000,5800000,18,494,5100000,4400000,8500000,2300000,1.0
899,4,1.0,0.0,2800000,10800000,2,841,700000,2600000,7100000,4100000,0.0
900,0,0.0,1.0,5400000,21400000,8,721,8200000,6400000,16700000,7400000,0.0
901,5,0.0,0.0,3100000,9400000,10,414,200000,5300000,8000000,2800000,1.0
902,5,1.0,0.0,4800000,15500000,10,812,9500000,1500000,17800000,3500000,0.0
903,1,1.0,0.0,8800000,17500000,20,832,1800000,3600000,24000000,7400000,0.0
904,2,0.0,0.0,4100000,14900000,12,571,-100000,5200000,13000000,3400000,0.0
905,5,1.0,0.0,9700000,37000000,14,459,28700000,17900000,22800000,5600000,1.0
906,2,0.0,1.0,6400000,24100000,6,592,2500000,6300000,20200000,6000000,0.0
907,5,0.0,0.0,3400000,13100000,20,527,900000,4500000,8600000,4000000,1.0
908,4,1.0,0.0,3500000,10200000,12,333,7600000,6400000,8100000,3400000,1.0
909,3,1.0,0.0,3200000,10000000,18,532,3300000,100000,9800000,2100000,1.0
910,2,0.0,1.0,4900000,13100000,18,754,8200000,3300000,16500000,7200000,0.0
911,0,0.0,1.0,1300000,4800000,4,835,500000,100000,3300000,800000,1.0
912,4,0.0,0.0,2500000,5400000,10,592,3400000,1500000,9900000,2900000,0.0
913,0,0.0,0.0,7500000,27300000,20,553,11600000,2800000,26200000,6100000,0.0
914,2,0.0,0.0,700000,2000000,8,806,1900000,1100000,2200000,400000,0.0
915,4,0.0,1.0,8200000,28500000,2,378,6800000,11200000,26400000,11500000,0.0
916,1,1.0,0.0,6900000,26200000,4,534,14500000,11900000,14900000,9400000,0.0
917,1,1.0,1.0,1500000,5900000,16,400,4200000,2400000,4800000,1500000,1.0
918,3,0.0,0.0,6300000,18300000,18,543,1800000,9400000,17700000,3500000,1.0
919,0,1.0,1.0,8800000,25600000,10,715,25300000,2500000,34900000,8600000,0.0
920,4,0.0,1.0,8900000,20700000,6,684,1100000,9200000,20400000,6700000,0.0
921,3,1.0,1.0,2100000,6100000,8,346,5500000,600000,4500000,2900000,1.0
922,1,0.0,1.0,9200000,29200000,6,669,9900000,12900000,23400000,11700000,0.0
923,2,1.0,0.0,3600000,8000000,12,566,10500000,3000000,8900000,2700000,0.0
924,0,1.0,1.0,8600000,23600000,2,361,25800000,5300000,24700000,7500000,1.0
925,5,0.0,0.0,3000000,8000000,6,333,3200000,400000,8200000,2200000,1.0
926,3,1.0,1.0,5200000,16300000,8,335,9500000,7000000,13600000,7300000,1.0
927,3,0.0,1.0,7200000,20400000,10,558,0,13200000,27200000,10600000,0.0
928,1,1.0,1.0,4000000,15600000,12,436,10400000,2800000,14800000,3200000,1.0
929,1,1.0,0.0,2400000,5200000,2,371,6100000,3100000,8500000,1400000,1.0
930,2,1.0,1.0,5500000,18400000,10,515,6800000,4400000,18500000,4100000,1.0
931,0,1.0,1.0,9000000,24300000,10,599,12900000,3400000,26900000,6400000,0.0
932,0,1.0,1.0,7900000,24000000,20,728,18600000,15600000,21800000,7400000,0.0
933,2,1.0,1.0,6200000,21600000,20,679,18600000,2500000,24500000,9100000,0.0
934,3,0.0,1.0,7900000,29200000,4,399,23200000,5500000,30200000,6900000,0.0
935,3,1.0,0.0,1200000,4500000,6,819,1400000,1100000,4400000,900000,0.0
936,1,0.0,0.0,4700000,11700000,6,308,11800000,1100000,15100000,3700000,1.0
937,5,0.0,1.0,5900000,15600000,2,730,12600000,4700000,15900000,5900000,0.0
938,4,1.0,1.0,1400000,5100000,14,312,4000000,1000000,3200000,1400000,1.0
939,3,1.0,1.0,4700000,12800000,16,740,2200000,8600000,11700000,6100000,0.0
940,5,0.0,1.0,7600000,20000000,10,522,21500000,1400000,20400000,4300000,1.0
941,4,0.0,0.0,7200000,16900000,4,702,15900000,7100000,22000000,9600000,0.0
942,4,1.0,1.0,1400000,4300000,16,447,3600000,1200000,5300000,1000000,1.0
943,5,0.0,0.0,1400000,2900000,4,829,800000,600000,5400000,1600000,0.0
944,2,0.0,0.0,7900000,18500000,18,727,20200000,12400000,19600000,7100000,0.0
945,5,1.0,1.0,7600000,18700000,14,509,8500000,8500000,22200000,3700000,1.0
946,3,0.0,1.0,9600000,34200000,2,745,2500000,2000000,33000000,6700000,0.0
947,1,1.0,0.0,2300000,6600000,18,513,4600000,900000,9000000,1600000,1.0
948,2,1.0,0.0,8100000,18500000,6,372,19100000,10200000,31000000,7900000,1.0
949,2,0.0,1.0,300000,700000,4,411,600000,0,1200000,100000,1.0
950,4,0.0,0.0,4700000,10800000,20,495,11300000,6800000,17000000,4500000,1.0
951,5,1.0,0.0,1100000,2500000,4,827,2400000,1000000,4100000,600000,0.0
952,4,1.0,0.0,8600000,25100000,6,820,14400000,5000000,26000000,8300000,0.0
953,5,0.0,1.0,8700000,28100000,10,660,25500000,800000,25900000,10100000,0.0
954,0,1.0,0.0,2200000,8600000,4,563,900000,1000000,4400000,2800000,0.0
955,1,1.0,1.0,500000,1400000,10,883,900000,0,1700000,300000,0.0
956,0,1.0,1.0,9100000,22000000,12,387,25300000,15600000,31700000,7000000,1.0
957,1,0.0,0.0,2200000,8700000,12,613,500000,1800000,5700000,2400000,0.0
958,0,1.0,1.0,2200000,8000000,14,335,2800000,3700000,6900000,2900000,1.0
959,1,0.0,1.0,9600000,34500000,2,795,9500000,900000,32000000,9300000,0.0
960,1,0.0,1.0,6500000,13900000,8,369,9600000,300000,17200000,8300000,1.0
961,4,0.0,1.0,2400000,7400000,18,888,2700000,1600000,7600000,3200000,0.0
962,4,1.0,0.0,5500000,12300000,6,742,12900000,2700000,19800000,4300000,0.0
963,0,0.0,0.0,5000000,14400000,4,874,3000000,9300000,14100000,3900000,0.0
964,1,0.0,0.0,2700000,8100000,16,691,2000000,3600000,8100000,2100000,0.0
965,3,1.0,1.0,8500000,30300000,12,762,12700000,3700000,20000000,4200000,0.0
966,1,0.0,0.0,4400000,10700000,18,324,2200000,3300000,12700000,5400000,1.0
967,4,1.0,0.0,500000,1800000,20,777,900000,300000,1300000,200000,0.0
968,0,0.0,0.0,8300000,21400000,2,662,6100000,12300000,24500000,10200000,0.0
969,2,1.0,1.0,6000000,13000000,12,462,2100000,2500000,14600000,5600000,1.0
970,3,1.0,1.0,4000000,10400000,14,609,2100000,6900000,11700000,4600000,0.0
971,5,0.0,1.0,4400000,11700000,20,590,900000,2700000,15500000,2300000,0.0
972,3,0.0,1.0,4400000,15800000,18,779,7200000,5400000,14900000,3600000,0.0
973,2,0.0,1.0,1900000,5000000,14,641,1000000,900000,5500000,2400000,0.0
974,0,0.0,1.0,5000000,18400000,12,752,14600000,4000000,10500000,6500000,0.0
975,0,0.0,0.0,8000000,23700000,10,305,22200000,11600000,17200000,12000000,1.0
976,4,1.0,0.0,8200000,20700000,10,546,10800000,7000000,25000000,10600000,1.0
977,2,0.0,0.0,7000000,24200000,8,833,13700000,4100000,26100000,9100000,0.0
978,2,1.0,0.0,2400000,8800000,18,421,3200000,1500000,6700000,1400000,1.0
979,5,0.0,0.0,6600000,18800000,4,639,3200000,1100000,25100000,4300000,0.0
980,3,0.0,0.0,3200000,6900000,20,735,1500000,3700000,9200000,3100000,0.0
981,0,1.0,1.0,2600000,5400000,2,377,100000,4900000,6100000,2700000,1.0
982,3,1.0,0.0,6900000,15600000,20,310,4500000,3600000,20400000,4800000,1.0
983,4,0.0,0.0,4800000,14000000,2,695,11300000,1700000,15400000,4600000,0.0
984,1,1.0,1.0,300000,1200000,4,355,700000,300000,800000,200000,0.0
985,1,1.0,1.0,4300000,14100000,12,525,2100000,1100000,14100000,5500000,1.0
986,5,1.0,0.0,700000,2400000,20,330,1300000,700000,2500000,500000,1.0
987,5,0.0,0.0,9400000,25800000,14,625,28200000,15400000,30800000,11100000,0.0
988,3,1.0,1.0,800000,2900000,10,644,600000,500000,2900000,400000,0.0
989,5,1.0,0.0,4400000,14900000,4,865,8200000,6200000,14900000,3500000,0.0
990,1,0.0,1.0,4700000,14800000,6,661,8500000,6000000,13600000,6400000,0.0
991,2,1.0,0.0,2300000,5000000,8,884,1400000,1700000,6100000,1500000,0.0
992,5,0.0,1.0,8500000,26700000,10,803,500000,16600000,24400000,9600000,0.0
